State,District,DAY,Current Rainfall,Temperature,Ph
Bihar,Bhagalpur,Day 1,105,30,6.5
Bihar,Bhagalpur,Day 2,108,30,7
Bihar,Bhagalpur,Day 3,111,29,7.5
Bihar,Bhagalpur,Day 4,115,30,8
Bihar,Bhagalpur,Day 5,120,30,8.5
Bihar,Darbhanga,Day 1,108,30,6
Bihar,Darbhanga,Day 2,113,30,6.5
Bihar,Darbhanga,Day 3,110,30,7
Bihar,Darbhanga,Day 4,115,29,8
Bihar,Darbhanga,Day 5,111,30,8.5
Bihar,Katihar,Day 1,120,30,4.8
Bihar,Katihar,Day 2,122,30,5.2
Bihar,Katihar,Day 3,124,29,5.4
Bihar,Katihar,Day 4,126,29,5.6
Bihar,Katihar,Day 5,128,30,6
Bihar,Jamui,Day 1,100,31,7
Bihar,Jamui,Day 2,101,313,7.5
Bihar,Jamui,Day 3,102,30,8
Bihar,Jamui,Day 4,103,30,8.5
Bihar,Jamui,Day 5,104,31,9
Bihar,Gaya,Day 1,105,30,9
Bihar,Gaya,Day 2,106,30,9.5
Bihar,Gaya,Day 3,108,30,10
Bihar,Gaya,Day 4,109,30,11
Bihar,Gaya,Day 5,110,31,12
Bihar,Nawada,Day 1,100,30,6.5
Bihar,Nawada,Day 2,102,30,7
Bihar,Nawada,Day 3,103,30,7.5
Bihar,Nawada,Day 4,105,30,8
Bihar,Nawada,Day 5,108,31,8.5
Bihar,Samastipur,Day 1,105,30,5
Bihar,Samastipur,Day 2,107,30,58
Bihar,Samastipur,Day 3,109,30,6.4
Bihar,Samastipur,Day 4,111,29,7.5
Bihar,Samastipur,Day 5,113,30,8
Bihar,Purnia,Day 1,135,31,6
Bihar,Purnia,Day 2,138,30,6.5
Bihar,Purnia,Day 3,142,29,7
Bihar,Purnia,Day 4,145,29,7.5
Bihar,Purnia,Day 5,149,30,8
Bihar,Patna,Day 1,106,29,6.5
Bihar,Patna,Day 2,108,29,7
Bihar,Patna,Day 3,110,30,7.5
Bihar,Patna,Day 4,112,29,8
Bihar,Patna,Day 5,114,30,8.5
Bihar,Gopalganj,Day 1,126,29,6
Bihar,Gopalganj,Day 2,128,29,6.5
Bihar,Gopalganj,Day 3,130,28,6.8
Bihar,Gopalganj,Day 4,132,29,7
Bihar,Gopalganj,Day 5,134,30,7.5
